name,code,HDI_1980,HDI_1990,HDI_2000,HDI_2005,HDI_2007,HDI_2008,HDI_2009,HDI_2011
Albania,ALB,0,0.656,0.691,0.721,0.724,0.729,0.733,0.734
Algeria,DZA,0.454,0.551,0.624,0.667,0.673,0.68,0.686,0.691
Antigua And Barbuda,ATG,0,0,0,0,0,0,0,0
Argentina,ARG,0.669,0.697,0.749,0.765,0.773,0.78,0.786,0.788
Armenia,ARM,0,0,0.643,0.689,0.703,0.715,0.719,0.712
Australia,AUS,0.85,0.873,0.906,0.918,0.92,0.922,0.924,0.926
Austria,AUT,0.74,0.79,0.839,0.86,0.866,0.87,0.876,0.879
Azerbaijan,AZE,0,0,0,0,0,0,0,0
Bangladesh,BGD,0.303,0.352,0.422,0.462,0.47,0.478,0.484,0.491
Belarus,BLR,0,0,0,0.723,0.731,0.738,0.744,0.746
Belgium,BEL,0.757,0.811,0.876,0.873,0.877,0.88,0.882,0.883
Belize,BLZ,0.619,0.651,0.668,0.689,0.69,0.692,0.695,0.696
Bermuda,BMU,0,0,0,0,0,0,0,0
"Bolivia, Plurinational State Of",BOL,0,0,0,0,0,0,0,0
Bosnia And Herzegovina,BIH,0,0,0,0.717,0.72,0.725,0.73,0.73
Botswana,BWA,0.446,0.594,0.585,0.601,0.611,0.618,0.624,0.626
Brazil,BRA,0.549,0.6,0.665,0.692,0.695,0.7,0.705,0.708
Bulgaria,BGR,0,0.698,0.715,0.749,0.753,0.758,0.765,0.766
Burundi,BDI,0.2,0.25,0.245,0.267,0.281,0.289,0.301,0.308
Cambodia,KHM,0,0,0.438,0.491,0.501,0.508,0.513,0.513
Cameroon,CMR,0.37,0.427,0.427,0.449,0.451,0.459,0.466,0.475
Canada,CAN,0.817,0.857,0.879,0.892,0.897,0.9,0.903,0.903
Chile,CHL,0.63,0.698,0.749,0.779,0.78,0.789,0.796,0.798
China,CHN,0.404,0.49,0.588,0.633,0.644,0.656,0.665,0.674
Colombia,COL,0.55,0.594,0.652,0.675,0.683,0.691,0.697,0.702
Costa Rica,CRI,0.614,0.656,0.703,0.723,0.729,0.735,0.737,0.738
Croatia,HRV,0,0,0.748,0.78,0.785,0.791,0.795,0.793
Cuba,CUB,0,0.677,0.681,0.725,0.745,0.759,0.767,0.77
Czechia,CZE,0,0,0,0,0,0,0,0
Denmark,DNK,0.783,0.809,0.861,0.885,0.887,0.89,0.891,0.891
Dominican Republic,DOM,0.532,0.577,0.64,0.658,0.666,0.672,0.677,0.68
Ecuador,ECU,0.591,0.636,0.668,0.695,0.698,0.702,0.714,0.716
Egypt,EGY,0.406,0.497,0.585,0.611,0.618,0.626,0.633,0.638
El Salvador,SLV,0.466,0.524,0.619,0.652,0.658,0.668,0.668,0.669
Ethiopia,ETH,0,0,0.274,0.313,0.327,0.337,0.348,0.353
Fiji,FJI,0.566,0.624,0.668,0.678,0.678,0.681,0.684,0.685
Finland,FIN,0.759,0.794,0.837,0.875,0.878,0.881,0.883,0.877
France,FRA,0.722,0.777,0.846,0.869,0.873,0.877,0.879,0.88
Georgia,GEO,0,0,0,0.707,0.712,0.724,0.722,0.724
Germany,DEU,0.73,0.795,0.864,0.895,0.898,0.901,0.902,0.9
Ghana,GHA,0.385,0.418,0.451,0.484,0.494,0.508,0.519,0.527
Greece,GRC,0.72,0.766,0.802,0.856,0.861,0.86,0.862,0.863
Guatemala,GTM,0.428,0.462,0.525,0.55,0.555,0.565,0.568,0.569
Guyana,GUY,0.501,0.489,0.579,0.606,0.613,0.619,0.622,0.624
