name,score,code,HDI,score_1980,score_1981,score_1982,score_1983,score_1984,score_1985,score_1986,score_1987,score_1988,score_1989,score_1990,score_1991,score_1992,score_1993,score_1994,score_1995,score_1996,score_1997,score_1998,score_1999,score_2000,score_2001,score_2002,score_2003,score_2004,score_2005,score_2006,score_2007,score_2008,score_2009,score_2010,score_2011
Albania,9,ALB,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,5,5,5,5,0,5,5,5,5,5,7,7,7,9,9,9,9,9
Algeria,0,DZA,0.739,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-2,-2,-2,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,2,2,2
Antigua And Barbuda,0,ATG,0.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,8,ARG,0.764,-9,-9,-9,-8,-8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8
Armenia,5,ARM,0.797,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-6,-4,0,7,7,7,7,3,-6,-6,5,5,5,5,5,5,5,5,5,5,5,5
Australia,10,AUS,0.716,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Austria,10,AUT,0.929,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Azerbaijan,-7,AZE,0.885,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-6,-4,0,-3,1,-3,-3,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Bangladesh,5,BGD,0.731,-4,-4,-4,-4,-7,-7,-7,-7,-5,-5,-5,-5,-5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-6,-6,5
Belarus,-7,BLR,0.5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-6,-4,0,7,7,7,7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Belgium,8,BEL,0.756,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8
